Text;Size;;;Size;;
gola;2;;895;2;;
x;2;;896;2;;
«mal;2;;897;2;;
fianco;2;;898;2;;
sparte;2;;899;2;;
sani;2;;900;2;;
lasciammo;2;;901;2;;
uscisser;2;;902;2;;
lena;2;;903;2;;
piangea;2;;904;2;;
ricominciò;2;;905;2;;
tutt;2;;906;2;;
ragion;2;;907;2;;
credette;2;;908;2;;
credetti;2;;909;2;;
avanti;2;;910;2;;
demonio;2;;911;2;;
bramose;2;;912;2;;
avria;2;;913;2;;
vizio;2;;914;2;;
presto;2;;915;2;;
attila;2;;916;2;;
tegnon;2;;917;2;;
luogo;2;;918;2;;
foglie;2;;919;2;;
roggia;2;;920;2;;
question;2;;921;2;;
anco;2;;922;2;;
stanchi;2;;923;2;;
aspetta»;2;;924;2;;
erba;2;;925;2;;
spoglie;2;;926;2;;
«quelli;2;;927;2;;
avrei;2;;928;2;;
passava;2;;929;2;;
fossimo;2;;930;2;;
oscuro;2;;931;2;;
«volgiti;2;;932;2;;
flegïàs;2;;933;2;;
letè;2;;934;2;;
bagna;2;;935;2;;
invidia;2;;936;2;;
vederai;2;;937;2;;
carca;2;;938;2;;
pietade;2;;939;2;;
teco;2;;940;2;;
dimanda;2;;941;2;;
sùbito;2;;942;2;;
abbandona;2;;943;2;;
attendi;2;;944;2;;
sentì;2;;945;2;;
cesare;2;;946;2;;
carco;2;;947;2;;
***;2;;948;2;;
dunque;2;;949;2;;
difension;2;;950;2;;
fecer;2;;951;2;;
prender;2;;952;2;;
corto;2;;953;2;;
ingegno;2;;954;2;;
centro;2;;955;2;;
varco;2;;956;2;;
disdegnoso;2;;957;2;;
italia;2;;958;2;;
«tutti;2;;959;2;;
guardia;2;;960;2;;
uscir;2;;961;2;;
«via;2;;962;2;;
pare;2;;963;2;;
“o;2;;964;2;;
corta;2;;965;2;;
corti;2;;966;2;;
xiii;2;;967;2;;
erta;2;;968;2;;
uscia;2;;969;2;;
sapere;2;;970;2;;
teme;2;;971;2;;
volere;2;;972;2;;
infernal;2;;973;2;;
dosso;2;;974;2;;
«omai;2;;975;2;;
vïaggio»;2;;976;2;;
cotale;2;;977;2;;
cotali;2;;978;2;;
davante;2;;979;2;;
davanti;2;;980;2;;
vedea;2;;981;2;;
leone;2;;982;2;;
lacca;2;;983;2;;
stipa;2;;984;2;;
tremò;2;;985;2;;
grosso;2;;986;2;;
grossa;2;;987;2;;
alessandro;2;;988;2;;
nude;2;;989;2;;
nudi;2;;990;2;;
states;2;;991;2;;
mise;2;;992;2;;
ncontro;2;;993;2;;
mira;2;;994;2;;
rachele;2;;995;2;;
feggia;2;;996;2;;
mio»;2;;997;2;;
«questo;2;;998;2;;
verace;2;;999;2;;
palme;2;;1000;2;;
scritta;2;;1001;2;;
perder;2;;1002;2;;
senso;2;;1003;2;;
contenti;2;;1004;2;;
senta;2;;1005;2;;
senti;2;;1006;2;;
punta;2;;1007;2;;
punte;2;;1008;2;;
punti;2;;1009;2;;
manda;2;;1010;2;;
lodo;2;;1011;2;;
use;2;;1012;2;;
lunge;2;;1013;2;;
convene;2;;1014;2;;
glorïoso;2;;1015;2;;
ntelletto;2;;1016;2;;
esce;2;;1017;2;;
vecchia;2;;1018;2;;
mei;2;;1019;2;;
lagrimando;2;;1020;2;;
cupo;2;;1021;2;;
fiamma;2;;1022;2;;
gliel;2;;1023;2;;
schiere;2;;1024;2;;
mali;2;;1025;2;;
famiglia;2;;1026;2;;
mala;2;;1027;2;;
spento;2;;1028;2;;
lasse;2;;1029;2;;
negato;2;;1030;2;;
lasciando;2;;1031;2;;
accorri;2;;1032;2;;
accorse;2;;1033;2;;
dienno;2;;1034;2;;
dirne;2;;1035;2;;
verrai;2;;1036;2;;
«guarda;2;;1037;2;;
beato;2;;1038;2;;
van;2;;1039;2;;
richiamava;2;;1040;2;;
movemmo;2;;1041;2;;
essere;2;;1042;2;;
cigne;2;;1043;2;;
essi;2;;1044;2;;
punge;2;;1045;2;;
sofferto;2;;1046;2;;
rechi;2;;1047;2;;
peccator;2;;1048;2;;
figliuolo;2;;1049;2;;
vii;2;;1050;2;;
vicenda;2;;1051;2;;
spavento;2;;1052;2;;
sinistro;2;;1053;2;;
iacopo;2;;1054;2;;
farem;2;;1055;2;;
tesoro;2;;1056;2;;
nver;2;;1057;2;;
chiama;2;;1058;2;;
coperchio;2;;1059;2;;
zuffa;2;;1060;2;;
volve;2;;1061;2;;
maladetta;2;;1062;2;;
ell;2;;1063;2;;
maladetto;2;;1064;2;;
vedessi;2;;1065;2;;
magnanimo;2;;1066;2;;
strani;2;;1067;2;;
possente;2;;1068;2;;
dispetto;2;;1069;2;;
pinse;2;;1070;2;;
nfino;2;;1071;2;;
coperchi;2;;1072;2;;
tegghiaio;2;;1073;2;;
rimase;2;;1074;2;;
scoperto;2;;1075;2;;
supin;2;;1076;2;;
veggendo;2;;1077;2;;
