Id;Text;Size
1034;offence;2
1035;grows;2
1036;philosophy;2
1037;methods;2
1038;grown;2
1039;choice;2
1040;hid;2
1041;gross;2
1042;request;2
1043;majesties;2
1044;point;2
1045;encounter;2
1046;sometime;2
1047;strict;2
1048;entreat;2
1049;hot;2
1050;march;2
1051;dispatch;2
1052;talk;2
1053;reply;2
1054;scholar;2
1055;additional;2
1056;home;2
1057;hope;2
1058;tables;2
1059;bend;2
1060;painted;2
1061;beggars;2
1062;strike;2
1063;smile;2
1064;fine;2
1065;horridly;2
1066;lordship;2
1067;hears;2
1068;present;2
1069;troubles;2
1070;falling;2
1071;thyself;2
1072;doomsday;2
1073;unless;2
1074;thrift;2
1075;unnatural;2
1076;weary;2
1077;cannon;2
1078;reputation;2
1079;ice;2
1080;visitation;2
1081;melancholy;2
1082;presentation;2
1083;thrice;2
1084;fits;2
1085;commend;2
1086;fain;2
1087;prick;2
1088;imagination;2
1089;doors;2
1090;steel;2
1091;steep;2
1092;iii;2
1093;clearly;2
1094;beautified;2
1095;bosom;2
1096;according;2
1097;paper;2
1098;round;2
1099;fate;2
1100;throat;2
1101;strumpet;2
1102;morrow;2
1103;swift;2
1104;prevent;2
1105;scope;2
1106;age;2
1107;number;2
1108;obedience;2
1109;property;2
1110;happily;2
1111;fathers;2
1112;city;2
1113;crew;2
1114;tender;2
1115;royal;2
1116;mock;2
1117;favour;2
1118;weakness;2
1119;dull;2
1120;spirits;2
1121;cried;2
1122;suppress;2
1123;armed;2
1124;ass;2
1125;piteous;2
1126;dust;2
1127;mole;2
1128;mourn;2
1129;edition;2
1130;malicious;2
1131;incestuous;2
1132;substance;2
1133;discourse;2
1134;jig;2
1135;moon;2
1136;champaign;2
1137;born;2
1138;rogue;2
1139;profit;2
1140;arrant;2
1141;bak;2
1142;servant;2
1143;inward;2
1144;contain;2
1145;fishmonger;2
1146;party;2
1147;deep;2
1148;deed;2
1149;sin;2
1150;over;2
1151;bound;2
1152;sick;2
1153;slaughter;2
1154;warranty;2
1155;crown;2
1156;thinking;2
1157;table;2
1158;report;2
